Actividad,Responsable,Duración,Inicio ,Fin,Evento,Días al Evento,Stoper
Indicadores para líneas Estratégicas,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Líneas Estratégicas/Acciones para eficiente el uso de Agua/Acciones para eficiente el uso de Energía
Tableros de Indicadores de Sustentabilidad,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Indicadores para líneas Estratégicas
Determinación de Eficacia de acciones,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Indicadores para líneas Estratégicas/Tableros de Indicadores de Sustentabilidad
Informe Anual de Acciones,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Indicadores para líneas Estratégicas/Tableros de Indicadores de Sustentabilidad
Cierre de la campaña cashless,Dirección Comercial F1,Dura 1 días,27/10/2023,10/27/23,10/27/24,366,Entrega de materiales para campaña
Recepción de producto hielo,Dirección de Operaciones F1,Dura 3 días,27/10/2023,10/29/23,10/27/24,366,
Encuesta de satisfacción de evento,Coordinación Experiencia al Cliente,Dura 1 días,28/10/2023,10/28/23,10/27/24,365,
Recepción de gráficas,Agencia INK PR,Dura 4 días,13/12/2023,12/16/23,10/27/24,319,
Entrega de bases finales para impresión - digitalización,Marketing y digital CIE,Dura 3 días,17/12/2023,12/19/23,10/27/24,315,
Entrega final versión completa + versión resumen,CIE diversas áreas,Dura 1 días,22/01/2024,1/22/24,10/27/24,279,
Entrega final versión completa + versión corta,IWO,Dura 2 días,22/01/2024,1/23/24,10/27/24,279,
"Elaboración de resumen, rediseño, impresión y empastado de versión resumen",CIE diversas áreas,Dura 1 días,23/01/2024,1/23/24,10/27/24,278,
Entrega de reporte fotográfico para revisión completa,CIE diversas áreas,Dura 1 días,24/01/2024,1/24/24,10/27/24,277,
"Elaboración de resumen, diseño, impresión y empastado de versión corta",IWO,Dura 18 días,24/01/2024,2/10/24,10/27/24,277,Entrega final versión completa + versión corta
Entrega de reporte fotográfico para revisión,CIE diversas áreas,Dura 1 días,27/01/2024,1/27/24,10/27/24,274,Entrega de correcciones
Entrega de correcciones,IWO,Dura 1 días,27/01/2024,1/27/24,10/27/24,274,Entrega de reporte fotográfico para revisión completa
Entrega de fotografías,IWO,Dura 1 días,28/01/2024,1/28/24,10/27/24,273,Entrega de reporte fotográfico para revisión
Reunión de revisión de contenido fotográfico para reporte de acuerdo de contrato,CIE diversas áreas,Dura 1 días,29/01/2024,1/29/24,10/27/24,272,Entrega de fotografías/Entrega de reporte fotográfico para revisión
Correcciones versión final,CIE,Dura 2 días,11/02/2024,2/12/24,10/27/24,259,"Elaboración de resumen, diseño, impresión y empastado de versión corta"
Reporte de cobertura de medios final versión completa,IWO,Dura 2 días,13/02/2024,2/14/24,10/27/24,257,Correcciones versión final
Testigos de monitoreo finales,Servicio Impresión-digitalización/TALSAL,Dura 3 días,17/02/2024,2/19/24,10/27/24,253,Reporte de cobertura de medios final versión completa
Reporte de cobertura de medios con correcciones,Servicio Impresión-digitalización/TALSAL,Dura 2 días,20/02/2024,2/21/24,10/27/24,250,Reporte de cobertura de medios con correcciones
Agencia RP correcciones hechas,Agencia INK PR,Dura 2 días,24/02/2024,2/25/24,10/27/24,246,Reporte de cobertura de medios con correcciones
Correcciones,RP CIE,Dura 2 días,26/02/2024,2/27/24,10/27/24,244,Reporte de cobertura de medios con correcciones/Agencia RP correcciones hechas
Reporte de cobertura de medio s,Agencia INK PR,Dura 5 días,28/02/2024,3/3/24,10/27/24,242,Reporte de cobertura de medios con correcciones/Correcciones
Reporte redes sociales y reporte promoción publicitaria,Marketing y digital CIE,Dura 2 días,04/03/2024,3/5/24,10/27/24,237,Reporte de cobertura de medio s
Entrega de capítulos promoción y monitoreo y cobertura eventos especiales Parte 2,RP CIE,Dura 2 días,04/03/2024,3/5/24,10/27/24,237,Recepción de gráficas/Reporte de cobertura de medio s
Revisión de bases finales monitoreo,"IWO,RP CIE",Dura 2 días,06/03/2024,3/7/24,10/27/24,235,Entrega de capítulos promoción y monitoreo y cobertura eventos especiales Parte 2
Entrega de bases finales monitoreo,Agencia INK PR,Dura 6 días,07/03/2024,3/12/24,10/27/24,234,Revisión de bases finales monitoreo
Entrega de capítulo eventos especiales Parte 1,Agencia INK PR,Dura 3 días,12/03/2024,3/14/24,10/27/24,229,Entrega de bases finales monitoreo/Entrega de capítulos promoción y monitoreo y cobertura eventos especiales Parte 2
Gestión y logística para Abastecimiento y reabastecimiento,Gerencia Relaciones Públicas F1,Dura 3 días,10/25/24,10/27/24,10/27/24,2,
Actividades de difusión,Gerencia Relaciones Públicas F1,Dura 3 días,10/25/24,10/27/24,10/27/24,2,
Protocolo de apertura,Dirección de Operaciones F1,Dura 3 días,10/25/24,10/27/24,10/27/24,2,
Atención al cliente del Gran Premio de la CDMX,Coordinación Experiencia al Cliente ,Dura 3 días,10/25/24,10/27/24,10/27/24,2,
Gestión de accidentes,"Coordinación de Seguridad Corporativa, Gerencia de Seguridad Corporativa",Dura 3 días,10/25/24,10/27/24,10/27/24,2,
Gestión y logística para Abastecimiento y reabastecimiento,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Almacenaje
Acceso de proveedores,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Verificación por zona
Desmontaje,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,
Especificaciones de embalaje,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Entrega del inmueble por zona
Control de inventario,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,
Documentación y trámite aduanal,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,
Envío,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Check lista de áreas
Entrega por zona,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Estado de cuenta CXC
Embalaje de equipo,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Especificaciones de embalaje
Almacenaje,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,
Verificación por zona,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,
Limpieza de áreas,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Entrega por zona
Entrega del inmueble por zona,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Control de inventario
Compilación para la generación del Informe CPTM,Coordinación de Sostenibilidad,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Entrega de materiales 
Reporte de incidentes,Coordinación de Sostenibilidad,Dura 6 días,10/27/24,11/1/24,10/27/24,0,
Check list de áreas,Coordinación de Sostenibilidad,Dura 6 días,10/27/24,11/1/24,10/27/24,0,
Estado de cuenta CXC,Gerencia de Planeación Financiera,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Escenarios financieros
Programa de cobro,Gerencia de Planeación Financiera,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Planeación de ingresos
Fiscalización CXC,Gerencia de Planeación Financiera,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Escenarios financieros
Informes económicos,Gerencia de Planeación Financiera,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Presupuesto de ingresos
Estado de resultados,Gerencia de Planeación Financiera,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Control presupuestal
Control de inventario,Gerencia de Planeación Financiera,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Fuentes de egresos
Envío,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,
Embalaje de equipo,Dirección Operaciones F1,Dura 6 días,10/27/24,11/1/24,10/27/24,0,Especificaciones de embalaje
