Actividad,Responsable,Duración,Inicio ,Fin,Evento,Días al Evento,Stoper
Capacitación: Logística de funcionalidad y operación de las hospitalidades previo al evento,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,27/08/2024,27/08/24,27/10/24,61,Capacitación: Logística de funcionalidad y operación de las hospitalidades previo al evento
Gestión de Autorización,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1,Dura 5 días,22/08/2024,28/08/24,27/10/24,60,Gestión de Autorización
Logística de impresión (por Ticketmaster),Coordinación de Boletaje F1,Dura 1 días,29/08/2024,29/08/24,27/10/24,59,Logística de impresión (por Ticketmaster)
Tertulias,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 2 días,28/08/2024,29/08/24,27/10/24,59,Tertulias
Team back al cierre equipo de Hospitalidades,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,30/08/2024,30/08/24,27/10/24,58,Team back al cierre equipo de Hospitalidades
Check List General por Hospitalidad,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,02/09/2024,2/09/24,27/10/24,55,Check List General por Hospitalidad
Atención a Prensa y Medios,Coordinación Media Centre F1,Dura 130 días,07/03/2024,4/09/24,27/10/24,53,
"Facilidades (espacios Media Center, traslados)",Coordinación Media Centre F1,Dura 70 días,30/05/2024,4/09/24,27/10/24,53,"Facilidades (espacios Media Center, traslados)"
Planeación de amenidades y actividades (Kermesse),Coordinación Media Centre F1,Dura 70 días,30/05/2024,4/09/24,27/10/24,53,Planeación de amenidades y actividades (Kermesse)
Montaje Pit Lane (Supervisión),"Dirección de Operaciones F1,Dirección General CIE Internacional y F1",Dura 1 días,05/09/2024,5/09/24,27/10/24,52,
Contrato Dosai Fibra Optica,Dirección de Operaciones F1,Dura 1 días,05/09/2024,5/09/24,27/10/24,52,Contrato Dosai Fibra Optica
Producción On Track,Dirección de Operaciones F1,Dura 1 días,05/09/2024,5/09/24,27/10/24,52,
Requerimientos OMDAI y FIA,Dirección General CIE Internacional y F1,Dura 1 días,05/09/2024,5/09/24,27/10/24,52,Requerimientos OMDAI y FIA
Listo Manual de Voluntarios,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,27/08/2024,16/09/24,27/10/24,41,Listo Manual de Voluntarios
Alta de cliente en software de ventas o control de venta,"Gerencia de Administración e Información Comercial,Gerencia Comercial F1,Gerencia Sr. Comercial F1",Dura 220 días,16/11/2023,18/09/24,27/10/24,39,Alta de cliente en software de ventas o control de venta
Asignación,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 2 días,17/09/2024,18/09/24,27/10/24,39,Asignación
Contratos o cartas firmados por el cliente (Documentos del clientes para contrato),"Gerencia de Administración e Información Comercial,Gerencia Comercial F1,Gerencia Sr. Comercial F1,Delivery F1",Dura 220 días,16/11/2023,18/09/24,27/10/24,39,Contratos o cartas firmados por el cliente (Documentos del clientes para contrato)
Trámite aduanal internación de maquinaria y equipo,Dirección de Operaciones F1,Dura 10 días,05/09/2024,18/09/24,27/10/24,39,Trámite aduanal internación de maquinaria y equipo
Propuesta conceptual,Coordinación Media Centre F1,Dura 10 días,06/09/2024,19/09/24,27/10/24,38,Propuesta conceptual
Propuesta Menú,"Analista de Experiencia Culinaria,Analista Experiencia al Cliente,Gerencia Experiencia Culinaria F1",Dura 1 días,19/09/2024,19/09/24,27/10/24,38,Propuesta Menú
Estimación Inicio de producción,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 45 días,22/07/2024,20/09/24,27/10/24,37,Estimación Inicio de producción
Extensión de horarios,Gerencia Hospitalidades y Experiencias Premium F1,Dura 20 días,26/08/2024,20/09/24,27/10/24,37,Extensión de horarios
Contar con agencia y estructura de capacitación de voluntarios,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,27/08/2024,23/09/24,27/10/24,34,Contar con agencia y estructura de capacitación de voluntarios
Primera entrega de Evidencias,Analista de Proyectos Entretenimiento F1,Dura 7 días,23/09/2024,1/10/24,27/10/24,26,Primera entrega de Evidencias
"Gestión Administrativa con gobierno local (acceso, representación, movilidad, tránsito)","Dirección de Operaciones F1,Gerente Producción F1",Dura 20 días,05/09/2024,2/10/24,27/10/24,25,"Gestión Administrativa con gobierno local (acceso, representación, movilidad, tránsito)"
Registro de personal,Dirección de Operaciones F1,Dura 20 días,05/09/2024,2/10/24,27/10/24,25,Registro de personal
Trámite aduanal envío de equipo,Dirección de Operaciones F1,Dura 10 días,19/09/2024,2/10/24,27/10/24,25,Trámite aduanal envío de equipo
Análisis de insumos,Analista Experiencia al Cliente,Dura 20 días,06/09/2024,3/10/24,27/10/24,24,Análisis de insumos
Media Kit,Coordinación Media Centre F1,Dura 20 días,06/09/2024,3/10/24,27/10/24,24,Media Kit
Producción Minuto a Minuto,Coordinación Media Centre F1,Dura 20 días,06/09/2024,3/10/24,27/10/24,24,Producción Minuto a Minuto
Acreditación de Medios,Coordinador de Sostenibilidad F1,Dura 110 días,07/05/2024,7/10/24,27/10/24,20,
"Acreditación medios, revisión y envío de acreditaciones",Coordinador de Sostenibilidad F1,Dura 40 días,13/08/2024,7/10/24,27/10/24,20,"Acreditación medios, revisión y envío de acreditaciones"
"Fecha límite de confirmación voluntarios. (Foto, talla, confirmación de fechas, etc.)","Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 10 días,24/09/2024,7/10/24,27/10/24,20,"Fecha límite de confirmación voluntarios. (Foto, talla, confirmación de fechas, etc.)"
Recorrido de pista,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,07/10/2024,7/10/24,27/10/24,20,
Recorrido de pista,Dirección de Operaciones F1,Dura 1 días,07/10/2024,7/10/24,27/10/24,20,Recorrido de pista
Preparación de recorridos,Coordinación Media Centre F1,Dura 25 días,06/09/2024,10/10/24,27/10/24,17,Preparación de recorridos
Capacitación: Logística de funcionalidad y operación de las hospitalidades durante el evento,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 14 días,24/09/2024,11/10/24,27/10/24,16,Capacitación: Logística de funcionalidad y operación de las hospitalidades durante el evento
Capacitación: Ceremonia de apertura,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: Ceremonia de apertura
Capacitación: Cuentas Corporativas,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: Cuentas Corporativas
Capacitación: Evaluación por hospitalidad,Coordinación Experiencia al Cliente,Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: Evaluación por hospitalidad
Capacitación: Experiencias Premium,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: Experiencias Premium
Capacitación: FAQs generales y reforzamiento de la información,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: FAQs generales y reforzamiento de la información
Capacitación: Incidencias,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: Incidencias
"Capacitación: Indicadores de efectividad de operación previa al evento, Capacitación: Seguridad integral e inclusión","Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,"Capacitación: Indicadores de efectividad de operación previa al evento, Capacitación: Seguridad integral e inclusión"
Capacitación: Introducción y la F1ESTA,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: Introducción y la F1ESTA
Capacitación: Logística del evento y generalidades de las hospitalidades,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: Logística del evento y generalidades de las hospitalidades
"Capacitación: Núcleos por zona, hospitalidades y marcas por núcleo","Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,"Capacitación: Núcleos por zona, hospitalidades y marcas por núcleo"
Capacitación: Producción,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: Producción
Capacitación: Sostenibilidad,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/24,27/10/24,13,Capacitación: Sostenibilidad
Implementación,Gerente Producción F1,Dura 5 días,08/10/2024,14/10/24,27/10/24,13,Implementación
Atención de observaciones,Gerente Producción F1,Dura 1 días,15/10/2024,15/10/24,27/10/24,12,Atención de observaciones
Búsqueda de proveedores,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 345 días,21/06/2023,15/10/24,27/10/24,12,Búsqueda de proveedores
Trámites gubernamentales,Dirección de Operaciones F1,Dura 30 días,05/09/2024,16/10/24,27/10/24,11,
Atención de Requerimientos de homologación de pista,Dirección de Operaciones F1,Dura 30 días,05/09/2024,16/10/24,27/10/24,11,
Informe OMDAI/FIA,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 1 días,16/10/2024,16/10/24,27/10/24,11,Informe OMDAI/FIA
Trámite migración,Dirección de Operaciones F1,Dura 10 días,03/10/2024,16/10/24,27/10/24,11,Trámite migración
Tertulias,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 18 días,24/09/2024,17/10/24,27/10/24,10,Tertulias
Validación por Cliente,"Analista de Experiencia Culinaria,Analista Experiencia al Cliente,Gerencia Experiencia Culinaria F1",Dura 20 días,20/09/2024,17/10/24,27/10/24,10,Validación por Cliente
Experiencia Culinaria,"Analista de Experiencia Culinaria,Analista Experiencia al Cliente,Gerencia Experiencia Culinaria F1",Dura 22 días,19/09/2024,18/10/24,27/10/24,9,
Experiencia al Cliente Corporativo,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 405 días,03/04/2023,18/10/24,27/10/24,9,
PIT LANE WALK,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 22 días,19/09/2024,18/10/24,27/10/24,9,PIT LANE WALK
Ubicación (logistica cocinas),"Analista de Experiencia Culinaria,Analista Experiencia al Cliente,Gerencia Experiencia Culinaria F1",Dura 1 días,18/10/2024,18/10/24,27/10/24,9,Ubicación (logistica cocinas)
Acreditación de coordinadores de producto y voluntarios,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/24,27/10/24,6,Acreditación de coordinadores de producto y voluntarios
Capacitación: Bluter,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/24,27/10/24,6,Capacitación: Bluter
Capacitación: Cuentas Culinaria,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/24,27/10/24,6,Capacitación: Cuentas Culinaria
Capacitación: Integración y Trabajo en equipo ATCL y hospitalidades,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/24,27/10/24,6,Capacitación: Integración y Trabajo en equipo ATCL y hospitalidades
Casting-ceremonia,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/24,27/10/24,6,Casting-ceremonia
Entrega de Kit de Voluntarios / PLW,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/24,27/10/24,6,Entrega de Kit de Voluntarios / PLW
Recorrido dirección,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/24,27/10/24,6,Recorrido dirección
Abastecimiento antes del evento,Analista Experiencia al Cliente,Dura 13 días,04/10/2024,22/10/24,27/10/24,5,Abastecimiento antes del evento
Entrega de Activaciones,Analista de Proyectos Entretenimiento F1,Dura 15 días,02/10/2024,22/10/24,27/10/24,5,Entrega de Activaciones
Propuesta conceptual,Analista de Proyectos Entretenimiento F1,Dura 192 días,29/01/2024,22/10/24,27/10/24,5,
"Mantenimiento a infraestructura (Paddock, Pit lane)",Dirección de Operaciones F1,Dura 35 días,05/09/2024,23/10/24,27/10/24,4,
Capacitación,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 42 días,27/08/2024,23/10/24,27/10/24,4,
Capacitación específica para voluntarios y logística de PIT LANE WALK,Coordinación Media Centre F1,Dura 22 días,24/09/2024,23/10/24,27/10/24,4,Capacitación específica para voluntarios y logística de PIT LANE WALK
"Mantenimiento a infraestructura Pit Lane Paddock, Pista",Dirección de Operaciones F1,Dura 35 días,05/09/2024,23/10/24,27/10/24,4,"Mantenimiento a infraestructura Pit Lane Paddock, Pista"
Conciliación de pago,"Gerencia Comercial F1,Gerencia Sr. Comercial F1,Delivery F1",Dura 246 días,16/11/2023,24/10/24,27/10/24,3,Conciliación de pago
Administración de Boletera-Boletaje,Coordinación de Boletaje F1,Dura 353 días,21/06/2023,25/10/24,27/10/24,2,
Venta de Productos y Servicios,Gerencia Sr. Comercial F1,Dura 410 días,03/04/2023,25/10/24,27/10/24,2,
Administración de Venta,"Contraloría F1,Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 247 días,16/11/2023,25/10/24,27/10/24,2,
Ceremonia y Protocolos,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 15 días,07/10/2024,25/10/24,27/10/24,2,
Adiciones / Modificaciones,"Gerencia Comercial F1,Gerencia Sr. Comercial F1",Dura 246 días,17/11/2023,25/10/24,27/10/24,2,Adiciones / Modificaciones
Analítica de Pagos,Gerente de Planeación Financiera F1,Dura 247 días,16/11/2023,25/10/24,27/10/24,2,Analítica de Pagos
Carreras de Soporte,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,25/10/2024,25/10/24,27/10/24,2,Carreras de Soporte
Ceremonia de apertura,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,25/10/2024,25/10/24,27/10/24,2,Ceremonia de apertura
Cierre de inventario de boletos,Coordinación de Boletaje F1,Dura 41 días,30/08/2024,25/10/24,27/10/24,2,Cierre de inventario de boletos
Cierre de la venta,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 247 días,16/11/2023,25/10/24,27/10/24,2,Cierre de la venta
Colaboraciones,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Mercadotecnia F1,Gerencia de Redes Sociales F1",Dura 303 días,30/08/2023,25/10/24,27/10/24,2,Colaboraciones
Contrato/Carta Compromiso,Gerencia de Administración e Información Comercial,Dura 247 días,16/11/2023,25/10/24,27/10/24,2,Contrato/Carta Compromiso
Cuadre (se realiza cada semana),"Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1,Gerente de Planeación Financiera F1",Dura 247 días,16/11/2023,25/10/24,27/10/24,2,Cuadre (se realiza cada semana)
Logística de impresión (indicación de fecha),Ticketmaster,Dura 353 días,21/06/2023,25/10/24,27/10/24,2,
Propuestas aceptadas por Cliente,"Dirección Comercial F1,Gerencia Sr. Comercial F1,Gerencia Comercial F1",Dura 247 días,16/11/2023,25/10/24,27/10/24,2,Propuestas aceptadas por Cliente
Protocolo carreras de soporte,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,25/10/2024,25/10/24,27/10/24,2,Protocolo carreras de soporte
Protocolo show previo a la carrera,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,25/10/2024,25/10/24,27/10/24,2,Protocolo show previo a la carrera
Seguimiento y Conciliación de Pago,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1,Contraloría F1",Dura 247 días,16/11/2023,25/10/24,27/10/24,2,Seguimiento y Conciliación de Pago
Ventas Especiales,Coordinación de Boletaje F1,Dura 247 días,16/11/2023,25/10/24,27/10/24,2,Ventas Especiales
Reabastecimiento durante el evento,Analista Experiencia al Cliente,Dura 10 días,22/10/2024,26/10/24,27/10/24,1,Reabastecimiento durante el evento
Gran Premio de Mexico Fórmula 1 2024,"Equipo de Proyecto,Dirección General CIE Internacional y F1",Dura 5 días,25/10/2024,27/10/24,27/10/24,0,
Operación,Coordinación Experiencia al Cliente,Dura 6 días,25/10/2024,27/10/24,27/10/24,0,Operación
Preparación Embalaje y Coordinación,Dirección de Operaciones F1,Dura 0 días,27/10/2024,27/10/24,27/10/24,0,Preparación Embalaje y Coordinación
Supervisión durante el México GP,Gerencia de Seguridad Corporativa,Dura 1 días,27/10/2024,27/10/24,27/10/24,0,Supervisión durante el México GP
